team_id,home_team_name,home_team_abbv,away_team_id,away_team_name,away_team_abbv,match_id,match_play_time,match_created_at,home_team_games_won,away_team_games_won,winner_team_id,loser_team_id,match_map_id,match_map,map_mode,host_Score,guest_score,winning_team_id,losing_team_id,player_id,first_name,last_name,alias,game_map,game_mode,stats_player_id,average_speed,highest_streak,untraded_deaths,traded_deaths,tacticals_used,lethals_used,dead_silence_time,total_kills,total_deaths,total_assists,total_score,untraded_kills,traded_kills,damage_dealt,friendly_damage,distance_traveled,control_tiers_captured,bombs_planted,bombs_defused,sneak_defuses,hp_hill_time,hp_hill_time_contested,aces,first_blood_kills,rotation_kills,kill_death_ratio
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,112,148.0148315,3,15,3,12,12,0,14,18,2,1600,10,4,2262,0,38130.78125,0,,,,,,0,1,0,0.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,222,163.0424194,2,12,4,6,12,23,7,16,7,1225,7,0,1436,72,40542.10547,2,,,,,,0,0,0,0.44
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,266,196.8049469,3,16,3,7,4,7,14,19,1,1525,9,5,1493,72,46674.11328,0,,,,,,0,2,0,0.74
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,39,172.3716583,4,10,3,12,13,90,16,13,7,2445,12,4,2098,0,54570.30469,,,,,48,2,0,1,4,1.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,50,190.3390503,5,15,5,13,11,0,21,20,7,4420,19,4,2769,31,54324.15625,,,,,113,4,0,0,5,1.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,120,166.3394928,8,9,3,10,9,0,20,12,7,2855,17,3,2482,0,50076.56641,,,,,43,3,0,0,6,1.67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Mercado Las Almas,CDL Hardpoint,262,182.9763641,3,10,8,8,6,174,23,18,5,3860,18,5,2442,66,58142.38281,,,,,61,6,0,0,4,1.28
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL SnD,39,99.73255157,3,4,0,10,10,100,8,6,2,825,7,0,1198,1,50377.08203,,0,0,0,,,0,1,0,1.33
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL SnD,50,98.98343658,7,3,1,9,8,100,12,5,4,1000,9,1,1452,0,48509.44922,,0,0,0,,,1,2,0,2.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL SnD,120,104.4310379,3,4,0,8,11,7,7,5,1,625,6,0,885,20,54577.48828,,0,0,0,,,0,0,0,1.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Embassy,CDL SnD,262,86.14326477,2,4,3,6,4,49,7,7,3,875,5,0,856,0,50152.83594,,3,0,0,,,0,5,0,1
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,39,172.7680511,5,10,3,13,10,84,17,13,5,2125,14,3,1961,10,44815.70313,0,,,,,,0,0,0,1.31
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,50,160.7274933,5,11,2,10,7,0,18,13,6,2300,14,4,2219,37,42023.80078,6,,,,,,0,0,0,1.38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,120,129.1871796,6,7,0,10,9,0,19,7,7,2550,17,2,2290,53,33783.64453,5,,,,,,0,0,0,2.71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Al Bagra Fortress,CDL Control,262,184.9991455,4,7,6,6,7,55,18,13,6,2200,15,3,2290,71,48729.36719,1,,,,,,0,0,0,1.38
